minuteIndex,sourceStartMs,sourceEndMs,durationMs,commentCount,commentRatePerMinute,relativeToStreamBaseline,velocityRank,isFullMinute
0,0,60000,60000,426,426,0.7245209115350587,172,true
1,60000,120000,60000,391,391,0.6649945455638685,182,true
2,120000,180000,60000,587,587,0.998342195002534,99,true
3,180000,240000,60000,532,532,0.9048007627620921,135,true
4,240000,300000,60000,412,412,0.7007103651465826,178,true
5,300000,360000,60000,379,379,0.6445855058023175,184,true
6,360000,420000,60000,382,382,0.6496877657427053,183,true
7,420000,480000,60000,573,573,0.9745316486140578,114,true
8,480000,540000,60000,554,554,0.9422173356582688,124,true
9,540000,600000,60000,667,667,1.1344024600795404,62,true
10,600000,660000,60000,635,635,1.0799783540487378,78,true
11,660000,720000,60000,517,517,0.8792894630601534,145,true
12,720000,780000,60000,450,450,0.7653389910581606,164,true
13,780000,840000,60000,519,519,0.8826909696870786,143,true
14,840000,900000,60000,726,726,1.2347469055738325,21,true
15,900000,960000,60000,580,580,0.9864369218082959,105,true
16,960000,1020000,60000,737,737,1.2534551920219208,18,true
17,1020000,1080000,60000,652,652,1.1088911603776017,68,true
18,1080000,1140000,60000,704,704,1.1973303326776557,38,true
19,1140000,1200000,60000,645,645,1.0969858871833635,73,true
20,1200000,1260000,60000,628,628,1.0680730808544998,80,true
21,1260000,1320000,60000,681,681,1.1582130064680165,47,true
22,1320000,1380000,60000,579,579,0.9847361684948334,107,true
23,1380000,1440000,60000,605,605,1.0289557546448604,88,true
24,1440000,1500000,60000,567,567,0.9643271287332824,117,true
25,1500000,1560000,60000,503,503,0.8554789166716773,147,true
26,1560000,1620000,60000,537,537,0.913304529329405,132,true
27,1620000,1680000,60000,489,489,0.8316683702832012,151,true
28,1680000,1740000,60000,568,568,0.966027882046745,116,true
29,1740000,1800000,60000,468,468,0.7959525507004871,158,true
30,1800000,1860000,60000,640,640,1.0884821206160507,76,true
31,1860000,1920000,60000,650,650,1.1054896537506764,71,true
32,1920000,1980000,60000,493,493,0.8384713835370515,150,true
33,1980000,2040000,60000,648,648,1.1020881471237514,72,true
34,2040000,2100000,60000,322,322,0.5476425669349505,192,true
35,2100000,2160000,60000,620,620,1.054467054346799,84,true
36,2160000,2220000,60000,458,458,0.7789450175658612,160,true
37,2220000,2280000,60000,482,482,0.8197630970889631,153,true
38,2280000,2340000,60000,575,575,0.977933155240983,112,true
39,2340000,2400000,60000,421,421,0.7160171449677458,174,true
40,2400000,2460000,60000,359,359,0.6105704395330659,188,true
41,2460000,2520000,60000,536,536,0.9116037760159424,133,true
42,2520000,2580000,60000,543,543,0.9235090492101805,130,true
43,2580000,2640000,60000,703,703,1.1956295793641931,39,true
44,2640000,2700000,60000,730,730,1.2415499188276828,20,true
45,2700000,2760000,60000,680,680,1.1565122531545537,49,true
46,2760000,2820000,60000,450,450,0.7653389910581606,165,true
47,2820000,2880000,60000,668,668,1.136103213393003,61,true
48,2880000,2940000,60000,585,585,0.9949406883756088,101,true
49,2940000,3000000,60000,641,641,1.0901828739295132,75,true
50,3000000,3060000,60000,664,664,1.1293002001391526,64,true
51,3060000,3120000,60000,542,542,0.9218082958967179,131,true
52,3120000,3180000,60000,561,561,0.9541226088525069,121,true
53,3180000,3240000,60000,644,644,1.095285133869901,74,true
54,3240000,3300000,60000,674,674,1.1463077332737783,58,true
55,3300000,3360000,60000,602,602,1.0238534947044726,91,true
56,3360000,3420000,60000,658,658,1.1190956802583771,66,true
57,3420000,3480000,60000,587,587,0.998342195002534,100,true
58,3480000,3540000,60000,651,651,1.107190407064139,70,true
59,3540000,3600000,60000,715,715,1.2160386191257442,28,true
60,3600000,3660000,60000,528,528,0.8979977495082418,137,true
61,3660000,3720000,60000,679,679,1.1548114998410912,51,true
62,3720000,3780000,60000,754,754,1.2823679983507847,12,true
63,3780000,3840000,60000,708,708,1.204133345931506,30,true
64,3840000,3900000,60000,584,584,0.9932399350621463,103,true
65,3900000,3960000,60000,518,518,0.880990216373616,144,true
66,3960000,4020000,60000,410,410,0.6973088585196575,179,true
67,4020000,4080000,60000,613,613,1.042561781152561,87,true
68,4080000,4140000,60000,720,720,1.224542385693057,26,true
69,4140000,4200000,60000,571,571,0.9711301419871327,115,true
70,4200000,4260000,60000,590,590,1.0034444549429218,96,true
71,4260000,4320000,60000,724,724,1.2313453989469074,22,true
72,4320000,4380000,60000,735,735,1.2500536853949957,19,true
73,4380000,4440000,60000,637,637,1.0833798606756628,77,true
74,4440000,4500000,60000,695,695,1.1820235528564926,41,true
75,4500000,4560000,60000,560,560,0.9524218555390443,122,true
76,4560000,4620000,60000,748,748,1.2721634784700093,15,true
77,4620000,4680000,60000,662,662,1.1258986935122275,65,true
78,4680000,4740000,60000,626,626,1.0646715742275745,82,true
79,4740000,4800000,60000,781,781,1.3282883378142742,6,true
80,4800000,4860000,60000,565,565,0.9609256221063572,120,true
81,4860000,4920000,60000,719,719,1.2228416323795945,27,true
82,4920000,4980000,60000,585,585,0.9949406883756088,102,true
83,4980000,5040000,60000,701,701,1.192228072737268,40,true
84,5040000,5100000,60000,676,676,1.1497092399007036,55,true
85,5100000,5160000,60000,418,418,0.7109148850273581,175,true
86,5160000,5220000,60000,457,457,0.7772442642523987,162,true
87,5220000,5280000,60000,458,458,0.7789450175658612,161,true
88,5280000,5340000,60000,536,536,0.9116037760159424,134,true
89,5340000,5400000,60000,270,270,0.4592033946348964,195,true
90,5400000,5460000,60000,258,258,0.43879435487334545,198,true
91,5460000,5520000,60000,300,300,0.5102259940387738,194,true
92,5520000,5580000,60000,262,262,0.44559736812719575,197,true
93,5580000,5640000,60000,566,566,0.9626263754198198,119,true
94,5640000,5700000,60000,509,509,0.8656834365524528,146,true
95,5700000,5760000,60000,707,707,1.2024325926180435,34,true
96,5760000,5820000,60000,577,577,0.9813346618679082,109,true
97,5820000,5880000,60000,677,677,1.1514099932141661,54,true
98,5880000,5940000,60000,470,470,0.7993540573274122,157,true
99,5940000,6000000,60000,574,574,0.9762324019275205,113,true
100,6000000,6060000,60000,619,619,1.0527663010333366,85,true
101,6060000,6120000,60000,478,478,0.8129600838351129,154,true
102,6120000,6180000,60000,438,438,0.7449299512966097,170,true
103,6180000,6240000,60000,528,528,0.8979977495082418,138,true
104,6240000,6300000,60000,623,623,1.059569314287187,83,true
105,6300000,6360000,60000,654,654,1.1122926670045268,67,true
106,6360000,6420000,60000,683,683,1.1616145130949416,46,true
107,6420000,6480000,60000,473,473,0.8044563172678,155,true
108,6480000,6540000,60000,707,707,1.2024325926180435,35,true
109,6540000,6600000,60000,680,680,1.1565122531545537,50,true
110,6600000,6660000,60000,770,770,1.309580051366186,7,true
111,6660000,6720000,60000,671,671,1.1412054733333907,60,true
112,6720000,6780000,60000,652,652,1.1088911603776017,69,true
113,6780000,6840000,60000,745,745,1.2670612185296215,16,true
114,6840000,6900000,60000,628,628,1.0680730808544998,81,true
115,6900000,6960000,60000,666,666,1.1327017067660776,63,true
116,6960000,7020000,60000,686,686,1.1667167730353294,45,true
117,7020000,7080000,60000,496,496,0.8435736434774392,149,true
118,7080000,7140000,60000,597,597,1.0153497281371597,92,true
