minuteIndex,sourceStartMs,sourceEndMs,durationMs,commentCount,commentRatePerMinute,relativeToStreamBaseline,velocityRank,isFullMinute
0,0,60000,60000,633,633,1.170203606158833,36,true
1,60000,120000,60000,347,347,0.6414860210696921,137,true
2,120000,180000,60000,702,702,1.2977613452188008,2,true
3,180000,240000,60000,661,661,1.221966166936791,22,true
4,240000,300000,60000,570,570,1.053737844408428,69,true
5,300000,360000,60000,650,650,1.2016308752025933,27,true
6,360000,420000,60000,585,585,1.081467787682334,59,true
7,420000,480000,60000,595,595,1.0999544165316046,55,true
8,480000,540000,60000,680,680,1.2570907617504052,14,true
9,540000,600000,60000,594,594,1.0981057536466776,56,true
10,600000,660000,60000,457,457,0.8448389384116695,113,true
11,660000,720000,60000,511,511,0.944666734197731,98,true
12,720000,780000,60000,532,532,0.9834886547811994,82,true
13,780000,840000,60000,644,644,1.190538897893031,32,true
14,840000,900000,60000,540,540,0.9982779578606159,78,true
15,900000,960000,60000,429,429,0.7930763776337115,123,true
16,960000,1020000,60000,648,648,1.1979335494327392,31,true
17,1020000,1080000,60000,580,580,1.0722244732576987,63,true
18,1080000,1140000,60000,616,616,1.138776337115073,45,true
19,1140000,1200000,60000,690,690,1.275577390599676,9,true
20,1200000,1260000,60000,681,681,1.2589394246353323,13,true
21,1260000,1320000,60000,682,682,1.2607880875202593,12,true
22,1320000,1380000,60000,626,626,1.1572629659643436,40,true
23,1380000,1440000,60000,632,632,1.168354943273906,37,true
24,1440000,1500000,60000,638,638,1.1794469205834686,35,true
25,1500000,1560000,60000,657,657,1.2145715153970826,23,true
26,1560000,1620000,60000,670,670,1.2386041329011346,19,true
27,1620000,1680000,60000,697,697,1.2885180307941653,4,true
28,1680000,1740000,60000,622,622,1.1498683144246353,43,true
29,1740000,1800000,60000,627,627,1.1591116288492707,39,true
30,1800000,1860000,60000,650,650,1.2016308752025933,28,true
31,1860000,1920000,60000,485,485,0.8966014991896273,106,true
32,1920000,1980000,60000,650,650,1.2016308752025933,29,true
33,1980000,2040000,60000,650,650,1.2016308752025933,30,true
34,2040000,2100000,60000,667,667,1.2330581442463533,20,true
35,2100000,2160000,60000,553,553,1.0223105753646677,76,true
36,2160000,2220000,60000,641,641,1.1849929092382496,34,true
37,2220000,2280000,60000,530,530,0.9797913290113452,84,true
38,2280000,2340000,60000,488,488,0.9021474878444085,105,true
39,2340000,2400000,60000,531,531,0.9816399918962724,83,true
40,2400000,2460000,60000,611,611,1.1295330226904376,49,true
41,2460000,2520000,60000,514,514,0.9502127228525122,96,true
42,2520000,2580000,60000,440,440,0.8134116693679093,116,true
43,2580000,2640000,60000,697,697,1.2885180307941653,5,true
44,2640000,2700000,60000,714,714,1.3199452998379255,1,true
45,2700000,2760000,60000,522,522,0.9650020259319287,90,true
46,2760000,2820000,60000,561,561,1.0370998784440844,74,true
