minuteIndex,sourceStartMs,sourceEndMs,durationMs,commentCount,commentRatePerMinute,relativeToStreamBaseline,velocityRank,isFullMinute
0,0,60000,60000,578,578,1.381161433731592,17,true
1,60000,120000,60000,528,528,1.2616838010558489,31,true
2,120000,180000,60000,650,650,1.5532092247846625,6,true
3,180000,240000,60000,585,585,1.397888302306196,15,true
4,240000,300000,60000,519,519,1.240177827174215,33,true
5,300000,360000,60000,345,345,0.8243956654626285,89,true
6,360000,420000,60000,521,521,1.2449569324812448,32,true
7,420000,480000,60000,544,544,1.2999166435120866,28,true
8,480000,540000,60000,476,476,1.1374270630730758,47,true
9,540000,600000,60000,546,546,1.3046957488191164,26,true
10,600000,660000,60000,561,561,1.3405390386218394,21,true
11,660000,720000,60000,535,535,1.278410669630453,29,true
12,720000,780000,60000,567,567,1.3548763545429285,19,true
13,780000,840000,60000,426,426,1.0179494303973327,58,true
14,840000,900000,60000,514,514,1.2282300639066408,35,true
15,900000,960000,60000,498,498,1.1899972214504029,41,true
16,960000,1020000,60000,486,486,1.1613225896082244,45,true
17,1020000,1080000,60000,498,498,1.1899972214504029,42,true
18,1080000,1140000,60000,599,599,1.4313420394554042,12,true
19,1140000,1200000,60000,512,512,1.223450958599611,36,true
20,1200000,1260000,60000,449,449,1.0729091414281744,53,true
21,1260000,1320000,60000,658,658,1.5723256460127812,4,true
22,1320000,1380000,60000,667,667,1.5938316198944151,2,true
23,1380000,1440000,60000,632,632,1.5101972770213947,8,true
24,1440000,1500000,60000,500,500,1.1947763267574325,40,true
25,1500000,1560000,60000,578,578,1.381161433731592,18,true
26,1560000,1620000,60000,434,434,1.0370658516254516,55,true
27,1620000,1680000,60000,402,402,0.9606001667129758,70,true
28,1680000,1740000,60000,504,504,1.204334537371492,38,true
29,1740000,1800000,60000,472,472,1.1278688524590164,48,true
30,1800000,1860000,60000,480,480,1.1469852736871353,46,true
31,1860000,1920000,60000,457,457,1.0920255626562934,50,true
32,1920000,1980000,60000,209,209,0.49941650458460685,123,true
33,1980000,2040000,60000,491,491,1.1732703528757988,43,true
34,2040000,2100000,60000,380,380,0.9080300083356487,78,true
35,2100000,2160000,60000,450,450,1.0752986940816893,51,true
36,2160000,2220000,60000,355,355,0.8482911919977771,86,true
37,2220000,2280000,60000,391,391,0.9343150875243122,73,true
38,2280000,2340000,60000,390,390,0.9319255348707974,74,true
39,2340000,2400000,60000,427,427,1.0203389830508474,57,true
40,2400000,2460000,60000,247,247,0.5902195054181717,114,true
41,2460000,2520000,60000,428,428,1.0227285357043623,56,true
42,2520000,2580000,60000,594,594,1.41939427618783,13,true
43,2580000,2640000,60000,214,214,0.5113642678521811,122,true
44,2640000,2700000,60000,384,384,0.9175882189497082,75,true
45,2700000,2760000,60000,325,325,0.7766046123923313,95,true
46,2760000,2820000,60000,373,373,0.8913031397610447,80,true
47,2820000,2880000,60000,424,424,1.0131703250903028,60,true
48,2880000,2940000,60000,344,344,0.8220061128091136,90,true
