minuteIndex,sourceStartMs,sourceEndMs,durationMs,commentCount,commentRatePerMinute,relativeToStreamBaseline,velocityRank,isFullMinute
0,0,60000,60000,479,479,1.7833276637562838,15,true
1,60000,120000,60000,498,498,1.8540650867445287,12,true
2,120000,180000,60000,596,596,2.218921268473372,3,true
3,180000,240000,60000,593,593,2.207752201685754,4,true
4,240000,300000,60000,655,655,2.4385795819631855,1,true
5,300000,360000,60000,441,441,1.6418528177797935,23,true
6,360000,420000,60000,346,346,1.2881657028385682,54,true
7,420000,480000,60000,557,557,2.0737234002343423,6,true
8,480000,540000,60000,472,472,1.7572665079185092,17,true
9,540000,600000,60000,366,366,1.3626261480893525,45,true
10,600000,660000,60000,365,365,1.3589031258268134,46,true
11,660000,720000,60000,331,331,1.23232036890048,60,true
12,720000,780000,60000,191,191,0.71109725214499,125,true
13,780000,840000,60000,324,324,1.2062592130627054,63,true
14,840000,900000,60000,320,320,1.1913671240125487,66,true
15,900000,960000,60000,370,370,1.3775182371395094,42,true
16,960000,1020000,60000,314,314,1.1690289904373135,67,true
17,1020000,1080000,60000,289,289,1.075953433873833,81,true
18,1080000,1140000,60000,139,139,0.5175000944929508,168,true
19,1140000,1200000,60000,188,188,0.6999281853573723,131,true
20,1200000,1260000,60000,230,230,0.8562951203840193,102,true
21,1260000,1320000,60000,451,451,1.6790830404051857,21,true
22,1320000,1380000,60000,135,135,0.5026080054427939,171,true
23,1380000,1440000,60000,323,323,1.2025361908001664,64,true
24,1440000,1500000,60000,336,336,1.250935480213176,58,true
25,1500000,1560000,60000,306,306,1.1392448123369996,74,true
26,1560000,1620000,60000,177,177,0.6589749404694409,140,true
27,1620000,1680000,60000,202,202,0.7520504970329214,118,true
28,1680000,1740000,60000,348,348,1.2956117473636466,52,true
29,1740000,1800000,60000,237,237,0.8823562762217938,95,true
30,1800000,1860000,60000,254,254,0.9456476546849605,87,true
31,1860000,1920000,60000,172,172,0.6403598291567449,144,true
32,1920000,1980000,60000,197,197,0.7334353857202253,121,true
33,1980000,2040000,60000,181,181,0.6738670295195979,137,true
34,2040000,2100000,60000,289,289,1.075953433873833,82,true
35,2100000,2160000,60000,472,472,1.7572665079185092,18,true
36,2160000,2220000,60000,433,433,1.6120686396794799,26,true
37,2220000,2280000,60000,479,479,1.7833276637562838,16,true
38,2280000,2340000,60000,373,373,1.388687303927127,41,true
39,2340000,2400000,60000,419,419,1.559946328003931,27,true
40,2400000,2460000,60000,191,191,0.71109725214499,126,true
41,2460000,2520000,60000,150,150,0.5584533393808822,159,true
42,2520000,2580000,60000,224,224,0.833956986808784,107,true
43,2580000,2640000,60000,253,253,0.9419246324224213,88,true
44,2640000,2700000,60000,299,299,1.113183656499225,77,true
45,2700000,2760000,60000,141,141,0.5249461390180292,165,true
46,2760000,2820000,60000,370,370,1.3775182371395094,43,true
47,2820000,2880000,60000,510,510,1.8987413538949993,8,true
48,2880000,2940000,60000,292,292,1.0871225006614507,80,true
49,2940000,3000000,60000,403,403,1.5003779718033035,34,true
50,3000000,3060000,60000,297,297,1.1057376119741467,79,true
51,3060000,3120000,60000,440,440,1.6381297955172545,24,true
52,3120000,3180000,60000,587,587,2.1854140681105187,5,true
53,3180000,3240000,60000,510,510,1.8987413538949993,9,true
54,3240000,3300000,60000,506,506,1.8838492648448426,11,true
55,3300000,3360000,60000,623,623,2.3194428695619305,2,true
56,3360000,3420000,60000,439,439,1.6344067732547152,25,true
57,3420000,3480000,60000,415,415,1.545054238953774,30,true
58,3480000,3540000,60000,287,287,1.0685073893487544,83,true
59,3540000,3600000,60000,526,526,1.9583097100956268,7,true
