generationSystem,fixtureId,candidateIndex,runIndex,formatValid,originalThreeStage,fourStage,expectedIndex,reached,startDeltaMs,endDeltaMs,startAbsoluteDeltaMs,endAbsoluteDeltaMs,bothWithin3000,bothWithin5000
llm-v012@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,2,1,true,reach,reach,1,true,-19866,34715,19866,34715,false,false
llm-v012@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,2,2,true,reach,reach,1,true,-19866,34715,19866,34715,false,false
llm-v012@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,2,3,true,reach,reach,1,true,-19866,34715,19866,34715,false,false
llm-v012@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,3,1,true,reach,reach,2,true,-46720,-1958,46720,1958,false,false
llm-v012@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,3,2,true,reach,reach,2,true,-46720,4682,46720,4682,false,false
llm-v012@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,3,3,true,reach,reach,2,true,-46720,4682,46720,4682,false,false
llm-v012@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,17,1,true,reach,reach,3,true,-31985,24505,31985,24505,false,false
llm-v012@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,17,2,true,reach,reach,3,true,-31985,24505,31985,24505,false,false
llm-v012@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,17,3,true,reach,reach,3,true,-31985,24505,31985,24505,false,false
llm-v012@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,32,1,true,reach,reach,4,true,0,41466,0,41466,false,false
llm-v012@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,32,2,true,reach,reach,4,true,0,41466,0,41466,false,false
llm-v012@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,32,3,true,reach,reach,4,true,0,41466,0,41466,false,false
llm-v012@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,35,1,true,reach,reach,5,true,-5904,5144,5904,5144,false,false
llm-v012@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,35,2,true,reach,reach,5,true,-5904,5144,5904,5144,false,false
llm-v012@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,35,3,true,reach,reach,5,true,-5904,5144,5904,5144,false,false
llm-v012@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,37,1,true,reach,reach,6,true,-220,19469,220,19469,false,false
llm-v012@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,37,2,true,reach,reach,6,true,-220,19469,220,19469,false,false
llm-v012@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,37,3,true,reach,reach,6,true,-220,19469,220,19469,false,false
llm-v012@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,39,1,true,reach,reach,7,true,-33234,3521,33234,3521,false,false
llm-v012@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,39,2,true,reach,reach,7,true,-33234,3521,33234,3521,false,false
llm-v012@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,39,3,true,reach,reach,7,true,-33234,3521,33234,3521,false,false
llm-v012@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,41,1,true,reach,reach,8,true,-7425,34132,7425,34132,false,false
llm-v012@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,41,2,true,reach,reach,8,true,-7425,34132,7425,34132,false,false
llm-v012@gemini-web-flash,nOEWCNc77MI_multiblock_material_v001,41,3,true,reach,reach,8,true,-7425,34132,7425,34132,false,false
