minuteIndex,sourceStartMs,sourceEndMs,durationMs,commentCount,commentRatePerMinute,relativeToStreamBaseline,velocityRank,isFullMinute
0,0,60000,60000,477,477,1.365660440293529,25,true
1,60000,120000,60000,490,490,1.402879697576162,20,true
2,120000,180000,60000,423,423,1.2110573715810542,33,true
3,180000,240000,60000,358,358,1.0249610851678899,43,true
4,240000,300000,60000,854,854,2.4450189014898824,1,true
5,300000,360000,60000,596,596,1.7063597954191685,7,true
6,360000,420000,60000,549,549,1.5717978652434956,13,true
7,420000,480000,60000,556,556,1.591839003780298,12,true
8,480000,540000,60000,385,385,1.1022626195241272,39,true
9,540000,600000,60000,335,335,0.9591116299755393,48,true
10,600000,660000,60000,225,225,0.6441794529686458,77,true
11,660000,720000,60000,516,516,1.4773182121414277,18,true
12,720000,780000,60000,333,333,0.9533855903935958,51,true
13,780000,840000,60000,310,310,0.8875361352012453,57,true
14,840000,900000,60000,322,322,0.9218923726929065,55,true
15,900000,960000,60000,129,129,0.3693295530353569,95,true
16,960000,1020000,60000,337,337,0.9648376695574828,46,true
17,1020000,1080000,60000,576,576,1.6490993995997332,9,true
18,1080000,1140000,60000,238,238,0.6813987102512786,74,true
19,1140000,1200000,60000,504,504,1.4429619746497666,19,true
20,1200000,1260000,60000,397,397,1.1366188570157885,38,true
21,1260000,1320000,60000,484,484,1.3857015788303313,21,true
22,1320000,1380000,60000,214,214,0.6126862352679564,79,true
23,1380000,1440000,60000,447,447,1.2797698465643763,30,true
24,1440000,1500000,60000,572,572,1.6376473204358462,10,true
25,1500000,1560000,60000,261,261,0.7472481654436292,68,true
26,1560000,1620000,60000,342,342,0.9791527685123416,45,true
27,1620000,1680000,60000,298,298,0.8531798977095842,61,true
28,1680000,1740000,60000,381,381,1.0908105403602402,41,true
29,1740000,1800000,60000,215,215,0.6155492550589282,78,true
30,1800000,1860000,60000,826,826,2.364854347342673,2,true
31,1860000,1920000,60000,465,465,1.331304202801868,28,true
32,1920000,1980000,60000,541,541,1.5488937069157216,15,true
33,1980000,2040000,60000,589,589,1.686318656882366,8,true
34,2040000,2100000,60000,456,456,1.3055370246831222,29,true
35,2100000,2160000,60000,655,655,1.8752779630865022,5,true
