#format: frame checksums
#version: 2
#hash: SHA256
#software: Lavf62.3.100
#tb 0: 1/30
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 1920x1080
#sar 0: 1/1
#stream#, dts,        pts, duration,     size, hash
0,          0,          0,        1,  3110400, cbc493c92a519235356530f8f0d4fe439a81c03c898b6dd5b3ecc3a6be692e5e
0,          1,          1,        1,  3110400, 2322d471ff7e32db0ed526fb547012c918af21bfe7ceb0ab9464ad3429ca9de5
0,          2,          2,        1,  3110400, c2fffeddb8048c262d06025c0fb9ff25655b5e4e07fc4a8e5e66597b1879b534
0,          3,          3,        1,  3110400, e48a3d498f816cb7d2100ab807d28b62cb2db25477c6bff10fc957359998a580
0,          4,          4,        1,  3110400, cf43df63b64191bdb5296b4ce637df080c60c27cde19334f3d3d4585ada46da6
0,          5,          5,        1,  3110400, dc1586e95690c429d6b7a6c2bea4600e02ffea2f7045a8f34292073119064fef
0,          6,          6,        1,  3110400, d78cfab9d274e3582293292e8c069c986d32f688452bd8c70a6d91408e630c8f
0,          7,          7,        1,  3110400, 7c27b7e2b65b65ed716aa5bcc13af3905ace2f43819ce148d4bd99ad4203ef0f
0,          8,          8,        1,  3110400, 6310e82428a4c6751a0d7bbf9810324657b5e1abbe494a44e1874ee0e5d9315c
0,          9,          9,        1,  3110400, 3d3d89a5db6387db2029c203438d54ae796c3e071527f85c1257dec0b65da2a4
0,         10,         10,        1,  3110400, 5a130579075c7a951d5d417164acbc5b1f7735f97f6e2e6d4cec90a132edee0f
0,         11,         11,        1,  3110400, 8ef1eaff4a1e73c1bdbe1204bd14babf0d0206eaba13b89755811a1a26b761a8
0,         12,         12,        1,  3110400, cee0beaad844c338c1888180da573c9baa1ba2438401a7b0d9c4a9aee66c1653
0,         13,         13,        1,  3110400, 045798fd1e902d81f7a80cefdde2877059155b987a064b103c254b45594780c3
0,         14,         14,        1,  3110400, b586b7fcdaab7a5933f5376df29cc106a385f5a3dbe35d3904d80871c950dac5
0,         15,         15,        1,  3110400, a0b500d7f94f68703587a2f24cf01e7e21db7c3b11685e744345c7e3fc61812e
0,         16,         16,        1,  3110400, 9b7dca8cc9ac7c9b5a004702cf1975b6f48474ae1467e7368ccca9ee6033cacb
0,         17,         17,        1,  3110400, 73ef1812de4b737362f0ab7a859a7db2ca6e0af7b651f8f5bbd2ab7980773456
0,         18,         18,        1,  3110400, 366ff8936e1c08ab6b43b01be661fdd89dd203194d5e69c9c1c13a535afdfbdc
0,         19,         19,        1,  3110400, 263df985e7e39463ac71a5fc39355dabbc462d218bbfffa2fbf3255501d1eabb
0,         20,         20,        1,  3110400, 0dc8303c00185f8a82059aee690c9e08bbe62c8c93eaecf7d72347ba3abe8402
0,         21,         21,        1,  3110400, 77dfbe16c7b3f9f7bddbb35622423399426e6cdb4fda587b570014e49b280fd6
0,         22,         22,        1,  3110400, 11356871af3c56f14bb60de3cf5bd5063c431a35c094b5b462d407e3eef8da62
0,         23,         23,        1,  3110400, 03baf7aee09be3c74f665f4e74716f34ad120313108568e5563d3ad013b3c76c
0,         24,         24,        1,  3110400, 343c93583aa7ca885b64eadf415f1b12f0716273a2fcc3ea62398dc6f79c7123
0,         25,         25,        1,  3110400, aa6fa360f8c89f4eec0c7074a8a10b4d4a0a3d01cfd720f361d33a9989af450a
0,         26,         26,        1,  3110400, 523600053f653a367d81c55540c307453dc4725b86b854e4ada5cefdb21795f1
0,         27,         27,        1,  3110400, 434164eadcaf01b8e588ffa4b4a80d45dc462b09402a36dcd6e8604b7e889538
0,         28,         28,        1,  3110400, a5c44f1b8864e7f452f210b8a91e1b6735422faab446c19a1a19f6be91f0e565
0,         29,         29,        1,  3110400, 851f6c27ae2d1760cd3a26e1ce738ad73c0317ab6832fd3aba1535856cbfc09d
0,         30,         30,        1,  3110400, 0a0c7f1533b4eb6b757edcd8d4f99c94fc9f957dabe1d80133f54856935451cd
0,         31,         31,        1,  3110400, aebd9845321732b947a3ae1cd4b2297d0e1b8718580165ece58541006fa6e84a
0,         32,         32,        1,  3110400, 2ebc8d91c46a1997a0cd2b6970314d1b1b609b9a11061c560402f4a900b41d67
0,         33,         33,        1,  3110400, 1b81b2cef58b85fca424bb3f8fe72cd2595ce00ae3e3fbf0be556834bc7b6d83
0,         34,         34,        1,  3110400, daf4e91ae600a662581101c6bf2f6174ba2debaab5a7d00baed800be368e7347
0,         35,         35,        1,  3110400, 42b455842125acb1019919f2c89fb3f93c44ebba891e443336f03dded93d60f5
0,         36,         36,        1,  3110400, 47bb6cd60307d648b520c9f3493cf2cf269ccab67eaaa499c07e4a04c31032a6
0,         37,         37,        1,  3110400, b4bb953409e61ab103b2fe2de98ee6815908bc5271fa2ab78d1f0a017efa072d
0,         38,         38,        1,  3110400, 23b08cd5012948f311b43e7ba3099df3aa2a6a8e3b24a09c70515e1b8eb47095
0,         39,         39,        1,  3110400, 7c5869fbc18885fcea42d1e4d6783ca12871dd50d69e5baac83115ee7533176b
0,         40,         40,        1,  3110400, d6320b20af5f36d3e51935849e8c19eb39eacd973d0e9f20491f9a09dca9de9e
0,         41,         41,        1,  3110400, 2a8d2336f1d42d75f2a142e29fc6537ab96fbc35f599f9d55e74c848e02889fd
0,         42,         42,        1,  3110400, daee3c82792551c6639bb442e0083d7c402f05c6ad772d33f2ddcfd1c2489b69
0,         43,         43,        1,  3110400, afd2f37d3421c312ced283d529242559fe50c25f4c2dd2f77efd09dab5e274f4
0,         44,         44,        1,  3110400, 1df69e7eb9e90401fcaa0884224fbf45acb6bbdea605ed8c5f7973990f681785
0,         45,         45,        1,  3110400, 80c3c01075488eb250a6349e65b0d6f0b083f7ae9c0927e77452f108f8370f72
0,         46,         46,        1,  3110400, a52fb8528833fbaa590e87a0690166ff5d789de879194626a8b14ad4cd210de3
0,         47,         47,        1,  3110400, 3df003e02af3d039613a202ca467d6c0be7c560180a3a5b5b387c40c67c83e8b
