#format: frame checksums
#version: 2
#hash: SHA256
#software: Lavf62.3.100
#tb 0: 1/30
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 1920x1080
#sar 0: 1/1
#stream#, dts,        pts, duration,     size, hash
0,          0,          0,        1,  3110400, cf62f5eec41b4c85666d4a355cee6ba2bcdf09b92d1f9fc397560a7e5d1f5439
0,          1,          1,        1,  3110400, 0b7bdfd848482b3e54d82e722f4d04acdee8cbe2530e9a42002ecd97c0348b6d
0,          2,          2,        1,  3110400, f1258176bbab0449cb64d6a85f20a7a3569e92b317d94a3b67bec24cf3c089f9
0,          3,          3,        1,  3110400, 71382e2d258d935d71cddf9afd2caffa78797031c14b7035e3e1ce90f0c475b6
0,          4,          4,        1,  3110400, f99ed5fa9cce84cf1af2c7e8eda9526aea8fbfd1ded22bf53dee07fd3fb7dd9e
0,          5,          5,        1,  3110400, a376a334065dd7d0138c0c982f9fe7a5c68a86f5d9ee7ed56984d357370019f7
0,          6,          6,        1,  3110400, 4c7fc042bf9503ddec7a4e0ab22bfedb551299365b5bc7855e5c59ccd5939fde
0,          7,          7,        1,  3110400, 419d6093466ddb990fcbc35a3ae15ccd5903ce12ae74054ab01002f9a6b272ce
0,          8,          8,        1,  3110400, 1d3ffc2904f94111229a4e28cf1f99b2abfa2a8e5da37c151c8ca718c6e51102
0,          9,          9,        1,  3110400, 6c685118469a1b092d71870f6f007d06e613fa680572159b4ed6ed91fcdb9c5b
0,         10,         10,        1,  3110400, 3cff96b92c99a3e196e48a4dfb3a5ce590c38a9fe603bb87417db2b3e8b2ce7d
0,         11,         11,        1,  3110400, 040b29a429d3059a5afd72fbec8f53e0d36aec93b8d2824b71d42bcf8c9a36c5
0,         12,         12,        1,  3110400, 284350930a2d7dd94ffa28b2849b6b567b12369ce5022f485918d98dd6933f37
0,         13,         13,        1,  3110400, 7731f5e4e218518a17be7c4b8740208a821d73886f789085e4c0c4b3afe59d0b
0,         14,         14,        1,  3110400, 7c54a5bfd5e063ff5cacab52fbc4114fe180fd4f8f87cb227a30eb5d6f73895e
0,         15,         15,        1,  3110400, dd13e1a1a95ffc182f2912adb49ed5f9cf834660505a4076539322d2c80f3c41
0,         16,         16,        1,  3110400, 8201f1fd098952b82db2afaab07fb2c6a08ed3aa8c018712422d072a0b70911e
0,         17,         17,        1,  3110400, c04dc772897f1395437ab1f0ef07e37fd43e5e8c1d43925e22af37ce8bb4b90e
0,         18,         18,        1,  3110400, a2822117cc982961627241055cbe7efd1159b363896d4cf6ee4d4a203fe2ddc6
0,         19,         19,        1,  3110400, 2a62183d17818daf6755fa368e4c3fcb955aaa9987cb60e3679b85bfa919d18e
0,         20,         20,        1,  3110400, bcec5c852b5c37fb0878f7c68b54cf8ae2d8e980eca77abc8f91ed42fe51139e
0,         21,         21,        1,  3110400, 4855d3d3aff291215cd718943af27cffc881bc9228c7197c7be095e15c05df29
0,         22,         22,        1,  3110400, 05657ed4f39aacfec4d0e093f9521d29016cd6d4c94d2833b1896258fc679c2e
0,         23,         23,        1,  3110400, 2275abc1337e73aa6dd92192500be143e1979d76927020a8bcc387c21202671b
0,         24,         24,        1,  3110400, 14e360182e8dfdfcf1a4bc423c3eb36094ec0139659ee6a73a2c9a02df74fbaa
0,         25,         25,        1,  3110400, 8037a81c296ff55332d2de73270db0c8f53b4c501a6f4ac1a6383ba4a0a5889f
0,         26,         26,        1,  3110400, 8a61171749b692771f7734a6b6dec7121e031f2742b222e196e7bc50a5c61b2f
0,         27,         27,        1,  3110400, 74a2994d0c5c4be733d4cf9456db0ad305ef207a8a8649b331d418732aa34617
0,         28,         28,        1,  3110400, 4affd1744e3f2961a78d999d259a63550e2764c27ebcef49a93b88ddb2a6d533
0,         29,         29,        1,  3110400, 757ca6c435e2b4a2e9cb727ee63e85f95043f669ec1990d951227029d4e4f50c
0,         30,         30,        1,  3110400, 2e6e5dc475e144a0ad3ec0f74ed0c624d90b11e16489e799524170a1cb345fc9
