#format: frame checksums
#version: 2
#hash: SHA256
#software: Lavf62.3.100
#tb 0: 1/30
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 1920x1080
#sar 0: 1/1
#stream#, dts,        pts, duration,     size, hash
0,          0,          0,        1,  3110400, 01bc279d7eadb29bbf8c3b1eca95e0eb5b3c8026abdc5ca95038cee21b83aaf7
0,          1,          1,        1,  3110400, b1e2836f774135955d699e7cf5706fa9c317d573d4cf6eca11efc1664f7182bd
0,          2,          2,        1,  3110400, 8ef72f1f0f42e503ce97c3af7dc585542f71602c515766da2ca34b7a0aa2d459
0,          3,          3,        1,  3110400, 05d06eeb6ab3f4ede7b19275c0990966ea58037945713b865c300a187e390b82
0,          4,          4,        1,  3110400, a681cda6de1c02d467f225b16584666e2aa85d2b996173899138d1a732c75dd1
0,          5,          5,        1,  3110400, 7fb2816881cd176887880062c43eae1bf89c921d102f9fe9da1231ec7794731a
0,          6,          6,        1,  3110400, 239cb412842dbf344a98a1f6fe0a2230bd0fc9fc2c1410d3d4a9ad715d2b180d
0,          7,          7,        1,  3110400, c48d1a7e605286ca6be926013f16e428430a157b56cc540d6faa6bdf3624223e
0,          8,          8,        1,  3110400, 63aedadd1c37d0e6411cb4e8e45a37051154d46a5b010e74f852d772c6bb6567
0,          9,          9,        1,  3110400, e9036e8e43e3f40278db758e14d177d48979ff7d30b10568cf901f1782bbabea
0,         10,         10,        1,  3110400, bf72b252c6029d990b7f54e6f560432854efdf11d93fde7b0656c630ef1f7c8e
0,         11,         11,        1,  3110400, c49529aca4990b1f7553629aa7f8ce99aa2eb199f4a544448ee0285bb4407608
0,         12,         12,        1,  3110400, a93806384d38ec708dc4289950d903757e78b0b57e529612fae25a4fabb7806f
0,         13,         13,        1,  3110400, 045e37d1acca0d557b652751f1177d658d75432818aa4fc2b94a8f5de2287bea
0,         14,         14,        1,  3110400, d2f8a398624fb990f7de134f2df0dbf7c0f462442c9ea44bc948380d32ddf58d
0,         15,         15,        1,  3110400, eae5d9eaaaedb200994d300df32105ef201adb0df7b7b8a9d259ec7995bebd40
0,         16,         16,        1,  3110400, 662d7aba19be5cf65d49ddab19aa2ff4e52ba26ae21bc420fce7acdb46d93e4e
0,         17,         17,        1,  3110400, bfab6abf6368c92ca7b4641783c43cde5e136355df416b9cc0e76dccadc61093
0,         18,         18,        1,  3110400, c8b544c88cb5d715a4fc462000a9eb8fb516be2a56d3ea0ca4cc33fe5b2e71e3
0,         19,         19,        1,  3110400, a18ce71d3787150b0f792508690dd88644b1733e8b2227d5446171acb81a4101
0,         20,         20,        1,  3110400, e02856ce85a344cc3491584cb75ceeb956e4198ef8a0f87cf7305184c888b09e
0,         21,         21,        1,  3110400, 180440e151670ffb5f18ad0a79959849b2764bd4cee5265222f1c72289117956
0,         22,         22,        1,  3110400, 65447c368fbf78d578fcd3bca76614a31d869ed8caa8aefdc51e23c0385fd42d
0,         23,         23,        1,  3110400, 9a4c9346eea6c51193b7894d2f616a718a1ff7cae8334ebf4d75837d378ad6bc
0,         24,         24,        1,  3110400, b2b28203082d8b0bf057d6076ecb07bf274c40a8c286cf3395d69cc4148225f9
0,         25,         25,        1,  3110400, cc5fb1eeaa738448cb7fd8df2a0c8f7d6460422a87e09a7a77205cee8ea114a7
0,         26,         26,        1,  3110400, b28ec26f8644ded06d2a9d1d0fdc5d7c09aa4f77fea3cc79fab39a1eaebb0dc8
0,         27,         27,        1,  3110400, 8956e8cfa2cf76a618490e75108c42abdc3680a16f9931978c2c49a0ad80b80e
0,         28,         28,        1,  3110400, 4af1ec4189f2b4b6e076fe50a579d95d345ecb1ff4c9aba945de7b1582558cd0
0,         29,         29,        1,  3110400, 93701464fcaae008a460ff2204e7352abab00c278894dd3d7629b44751465ab0
0,         30,         30,        1,  3110400, a073ca9337a894817c4c789466718f12b6001a5ca69c0ea0d53bdcd61a8c75c2
0,         31,         31,        1,  3110400, b49629418015158dc35426325ab85b5285797d1113ca051d585246861f030631
0,         32,         32,        1,  3110400, ea37b72c82692da2c8d84689f44431d6d907ae78c638dadc52c56c046601ec63
0,         33,         33,        1,  3110400, d6b7e0f87816cc55158e9e102fb290c54f35d4ad0b846057b04b73be88867348
0,         34,         34,        1,  3110400, c910855c2352da2f1c5b283f44c156a0996d9cf9104472312a5f3c5a3f06dcd6
